step,best_bid,best_ask,mid_price,spread,bid_depth,ask_depth,imbalance,last_trade_price
1,9999,10001,10000.0,2,99,95,0.020618556701030927,
2,9999,10001,10000.0,2,99,103,-0.019801980198019802,
3,9999,10001,10000.0,2,99,110,-0.05263157894736842,
4,9999,10001,10000.0,2,99,105,-0.029411764705882353,10001
5,9999,10001,10000.0,2,103,105,-0.009615384615384616,10001
6,9999,10001,10000.0,2,110,105,0.023255813953488372,10001
7,9999,10001,10000.0,2,112,105,0.03225806451612903,10001
8,9999,10001,10000.0,2,107,105,0.009433962264150943,9999
9,9999,10001,10000.0,2,109,105,0.018691588785046728,9999
10,9999,10001,10000.0,2,115,105,0.045454545454545456,9999
11,9999,10001,10000.0,2,116,105,0.049773755656108594,9999
12,9999,10001,10000.0,2,118,105,0.05829596412556054,9999
13,9999,10001,10000.0,2,118,112,0.02608695652173913,9999
14,9999,10001,10000.0,2,118,115,0.012875536480686695,9999
15,9999,10001,10000.0,2,118,118,0.0,9999
16,9999,10001,10000.0,2,125,118,0.02880658436213992,9999
17,9999,10001,10000.0,2,126,118,0.03278688524590164,9999
18,9999,10001,10000.0,2,126,124,0.008,9999
19,9999,10001,10000.0,2,126,128,-0.007874015748031496,9999
20,9999,10001,10000.0,2,126,133,-0.02702702702702703,9999
21,9999,10001,10000.0,2,126,121,0.020242914979757085,10001
22,9999,10001,10000.0,2,126,125,0.00398406374501992,10001
23,9999,10000,9999.5,1,126,105,0.09090909090909091,10001
24,9999,10000,9999.5,1,126,121,0.020242914979757085,10001
25,9999,10000,9999.5,1,126,137,-0.04182509505703422,10001
26,9999,10000,9999.5,1,126,145,-0.07011070110701106,10001
27,9999,10000,9999.5,1,126,147,-0.07692307692307693,10001
28,9999,10000,9999.5,1,126,149,-0.08363636363636363,10001
29,9999,10000,9999.5,1,126,151,-0.09025270758122744,10001
30,9999,10000,9999.5,1,126,154,-0.1,10001
31,9999,10000,9999.5,1,134,154,-0.06944444444444445,10001
32,9999,10000,9999.5,1,134,145,-0.03942652329749104,10000
33,9999,10000,9999.5,1,140,145,-0.017543859649122806,10000
34,9999,10000,9999.5,1,155,145,0.03333333333333333,10000
35,9999,10000,9999.5,1,155,134,0.0726643598615917,10000
36,9999,10000,9999.5,1,158,134,0.0821917808219178,10000
37,9999,10000,9999.5,1,158,148,0.032679738562091505,10000
38,9999,10000,9999.5,1,163,148,0.04823151125401929,10000
39,9999,10000,9999.5,1,163,156,0.0219435736677116,10000
40,9999,10000,9999.5,1,163,149,0.04487179487179487,10000
41,9999,10000,9999.5,1,163,142,0.06885245901639345,10000
42,9999,10000,9999.5,1,164,142,0.0718954248366013,10000
43,9999,10000,9999.5,1,156,142,0.04697986577181208,10000
44,9999,10000,9999.5,1,164,142,0.0718954248366013,10000
45,9999,10000,9999.5,1,164,155,0.02821316614420063,10000
46,9999,10000,9999.5,1,164,162,0.006134969325153374,10000
47,9999,10000,9999.5,1,164,164,0.0,10000
48,9999,10000,9999.5,1,164,173,-0.026706231454005934,10000
49,9999,10000,9999.5,1,173,173,0.0,10000
50,9999,10000,9999.5,1,187,173,0.03888888888888889,10000
51,9999,10000,9999.5,1,192,173,0.052054794520547946,10000
52,9999,10000,9999.5,1,200,173,0.07238605898123325,10000
53,9999,10000,9999.5,1,202,173,0.07733333333333334,10000
54,9999,10000,9999.5,1,210,173,0.09660574412532637,10000
55,9999,10000,9999.5,1,211,173,0.09895833333333333,10000
56,9999,10000,9999.5,1,211,185,0.06565656565656566,10000
57,9999,10000,9999.5,1,203,185,0.04639175257731959,9999
58,9999,10000,9999.5,1,203,189,0.03571428571428571,9999
59,9999,10000,9999.5,1,203,195,0.020100502512562814,9999
60,9999,10000,9999.5,1,203,184,0.04909560723514212,10000
61,9999,10000,9999.5,1,206,184,0.05641025641025641,10000
62,9999,10000,9999.5,1,206,177,0.07571801566579635,10000
63,9999,10000,9999.5,1,208,177,0.08051948051948052,10000
64,9999,10000,9999.5,1,208,181,0.06940874035989718,10000
65,9999,10000,9999.5,1,215,181,0.08585858585858586,10000
66,9999,10000,9999.5,1,204,181,0.05974025974025974,9999
67,9999,10000,9999.5,1,206,181,0.06459948320413436,9999
68,9999,10000,9999.5,1,206,169,0.09866666666666667,10000
69,9999,10000,9999.5,1,211,169,0.11052631578947368,10000
70,9999,10000,9999.5,1,211,182,0.0737913486005089,10000
71,9999,10000,9999.5,1,213,182,0.07848101265822785,10000
