step,price,quantity,buyer_id,seller_id,aggressor_side
4,10001,5,informed_4,seed,buy
8,9999,5,seed,informed_11,sell
21,10001,8,informed_17,seed,buy
21,10001,4,informed_17,resilience_10,buy
32,10000,5,informed_2,informed_17,buy
32,10000,4,informed_2,resilience_1,buy
35,10000,11,informed_10,resilience_1,buy
40,10000,1,informed_15,resilience_1,buy
40,10000,6,informed_15,resilience_2,buy
41,10000,7,informed_2,resilience_2,buy
57,9999,1,noise_29,informed_0,sell
57,9999,6,resilience_12,informed_0,sell
57,9999,1,resilience_12,informed_0,sell
60,10000,3,informed_7,resilience_2,buy
60,10000,2,informed_7,noise_23,buy
60,10000,6,informed_7,resilience_15,buy
62,10000,7,informed_8,resilience_15,buy
66,9999,11,resilience_12,informed_16,sell
68,10000,1,informed_9,resilience_15,buy
68,10000,11,informed_9,resilience_13,buy
72,9999,3,resilience_12,informed_17,sell
72,9999,1,noise_46,informed_17,sell
72,9999,1,resilience_13,informed_17,sell
76,9999,8,resilience_13,informed_11,sell
89,10000,2,informed_3,resilience_13,buy
89,10000,7,informed_3,noise_8,buy
89,10000,1,informed_3,noise_1,buy
90,9999,9,resilience_6,informed_8,sell
106,10000,1,informed_3,noise_1,buy
106,10000,6,informed_3,informed_7,buy
121,10000,3,informed_7,informed_7,buy
121,10000,7,informed_7,resilience_3,buy
123,9999,5,resilience_6,informed_0,sell
123,9999,3,noise_15,informed_0,sell
134,10000,4,informed_8,resilience_3,buy
135,10000,1,informed_2,resilience_3,buy
135,10000,6,informed_2,cancel_3,buy
139,10000,8,informed_13,resilience_2,buy
141,9999,5,noise_15,informed_13,sell
142,9999,2,noise_26,informed_5,sell
142,9999,3,noise_23,informed_5,sell
142,9999,2,noise_28,informed_5,sell
142,9999,2,noise_26,informed_5,sell
142,9999,3,noise_45,informed_5,sell
149,9999,5,noise_45,informed_11,sell
149,9999,6,resilience_10,informed_11,sell
160,10000,5,informed_15,resilience_2,buy
160,10000,4,informed_15,resilience_1,buy
166,10000,6,informed_13,resilience_1,buy
166,10000,2,informed_13,resilience_14,buy
