flow_bin,depletion_bin,n,mean_flow,mean_depletion,mean_value
1,1,151,-0.7095415335437553,0.006553632094799101,0.4370860927152318
1,2,38,-0.5859247181807338,0.01596536052641363,0.6842105263157895
1,3,35,-0.46954757379363243,0.027286820872724188,0.9142857142857143
1,4,10,-0.4421716273349151,0.10776222779366151,1.0
1,5,30,-0.4298077067085203,0.13886090318573852,1.0
2,1,48,-0.299301171970141,0.010068684738292165,0.7708333333333334
2,2,60,-0.22246974200128608,0.017202792752411312,0.6166666666666667
2,3,45,-0.27983703303806684,0.027486041697022994,0.4888888888888889
2,4,54,-0.25284795842038704,0.05038429501104676,0.8518518518518519
2,5,46,-0.25964357834816054,0.1576902997619356,1.0
3,1,17,0.09734717416378315,0.008676749124100946,0.35294117647058826
3,2,87,-0.02309281828109308,0.01783717746449715,0.40229885057471265
3,3,65,-0.0016033969466582106,0.026471789671491584,0.4307692307692308
3,4,42,-0.014741227735827912,0.06588231539419122,0.9285714285714286
3,5,44,0.033193279988922623,4954545455.081844,0.9318181818181818
4,1,39,0.2325920642350662,0.012055997265080887,0.05128205128205128
4,2,40,0.22747913275564371,0.01834611731310625,0.525
4,3,78,0.26761769730473667,0.027983419909421665,0.5384615384615384
4,4,71,0.2813715305625722,0.05519651254896713,0.8591549295774648
4,5,32,0.3294519129079035,10500000001.274136,0.96875
5,1,11,0.6473829201101929,0.010450423718916552,0.0
5,2,24,0.5224230666167042,0.015860121376892498,0.0
5,3,34,0.4600312072792065,0.030528479185591012,0.9411764705882353
5,4,80,0.4682984754701286,0.05684832485058429,0.95
5,5,105,0.8223730039690583,11666666667.537617,0.9904761904761905
