lookback_window,fill_m3_minus_m2_auc,fill_m3_minus_m2_brier,fill_m3_minus_m2_log_loss,markout_horizon,markout_m3_minus_m2_rmse,markout_m3_minus_m2_rank_corr
5,-0.0004172192749778425,7.870843691779039e-05,-0.0003945208960567381,10,0.03128227704520459,-0.005415650826336771
5,-0.0004172192749778425,7.870843691779039e-05,-0.0003945208960567381,50,0.2654356474567008,-0.0028352619353598785
5,-0.0004172192749778425,7.870843691779039e-05,-0.0003945208960567381,100,0.15128874468220488,-0.0016775145206059938
5,-0.0004172192749778425,7.870843691779039e-05,-0.0003945208960567381,500,1.647766921350672,-0.006996337497922167
10,-7.183908045960141e-05,-0.00017856572928656722,-0.0003132966230139367,10,-0.00042829005039024537,-1.1564503856864583e-05
10,-7.183908045960141e-05,-0.00017856572928656722,-0.0003132966230139367,50,0.10198217455155234,-0.011375352476535872
10,-7.183908045960141e-05,-0.00017856572928656722,-0.0003132966230139367,100,0.04306022697135692,0.0005000472551632273
10,-7.183908045960141e-05,-0.00017856572928656722,-0.0003132966230139367,500,0.9138157931325122,-0.014827611233356464
20,-0.00040340406719707733,0.00013302521104122111,-0.00022214805593190334,10,-0.015748101561109173,-0.0003385419682361279
20,-0.00040340406719707733,0.00013302521104122111,-0.00022214805593190334,50,0.01882022045081566,-0.006802182375672761
20,-0.00040340406719707733,0.00013302521104122111,-0.00022214805593190334,100,-0.0014960646749120343,-5.971746538158129e-05
20,-0.00040340406719707733,0.00013302521104122111,-0.00022214805593190334,500,0.1335739397344824,-0.05714817416448423
50,-0.0008703580901856522,0.0002724493225066127,-1.7514048057387654e-05,10,-0.001474049754575546,-0.0020767352131007
50,-0.0008703580901856522,0.0002724493225066127,-1.7514048057387654e-05,50,-0.01632381014261064,-0.009571900365562547
50,-0.0008703580901856522,0.0002724493225066127,-1.7514048057387654e-05,100,0.017186909482926893,-0.012667740366524016
50,-0.0008703580901856522,0.0002724493225066127,-1.7514048057387654e-05,500,-0.017486793335216966,0.027604276529439586
100,-0.0038986516357205625,0.0066640666881388755,0.014583265509625631,10,0.015002798302278464,-0.03878863176422476
100,-0.0038986516357205625,0.0066640666881388755,0.014583265509625631,50,-0.09154569111432576,-0.05254282899675511
100,-0.0038986516357205625,0.0066640666881388755,0.014583265509625631,100,-0.09398059457008756,-0.09079713272759393
100,-0.0038986516357205625,0.0066640666881388755,0.014583265509625631,500,0.42489690294112137,-0.2392713170495025
200,-0.008858311229000826,0.021062994305243526,0.15331948909436022,10,0.3193656927098898,-0.012355774788512242
200,-0.008858311229000826,0.021062994305243526,0.15331948909436022,50,0.09677675689915777,0.03621837891235957
200,-0.008858311229000826,0.021062994305243526,0.15331948909436022,100,0.359008826352885,-0.049908970254283924
200,-0.008858311229000826,0.021062994305243526,0.15331948909436022,500,0.025758913996576815,0.003793607725311565
500,0.001168766578249214,-0.0012105695006247585,-0.003263243292376594,10,-0.0002404202837036351,9.14406873349094e-05
500,0.001168766578249214,-0.0012105695006247585,-0.003263243292376594,50,9.439545067824184e-05,-0.000996130535024009
500,0.001168766578249214,-0.0012105695006247585,-0.003263243292376594,100,0.00015513695006763584,0.0003486031737606199
500,0.001168766578249214,-0.0012105695006247585,-0.003263243292376594,500,-0.06629279203837779,0.07315325957894758
