lookback_window,model,markout_horizon,mae,rmse,mean_signed_error,rank_correlation,n
5,M0_controls,10,3.118851205571134,4.497547707273538,0.8977607762991837,0.8959899532893334,870
5,M1_flow,10,2.9988885586601297,4.389715385381862,0.8680594300553512,0.8967457605465498,870
5,M2_flow_depletion,10,2.9838874743358055,4.3907302486828685,0.866211423509193,0.892658647669737,870
5,M3_interaction,10,2.9913849085860824,4.422012525728073,0.8807486629376827,0.8872429968434002,870
5,M0_controls,50,4.6455154457698535,6.761062188137669,-0.10009870324024567,0.7271208126422598,828
5,M1_flow,50,4.483100154912326,6.4844082532374205,-0.17506498014943173,0.7263250995161494,828
5,M2_flow_depletion,50,4.4601543853207195,6.460985225364087,-0.1553820618250985,0.7215835395618942,828
5,M3_interaction,50,4.490424342432729,6.726420872820788,-0.08531236598931201,0.7187482776265344,828
5,M0_controls,100,3.4374989407742342,5.40232236384241,-0.29238466488366205,0.3685131270499355,786
5,M1_flow,100,3.3821802628565454,5.236406915829751,-0.34620422429920805,0.3738692197177911,786
5,M2_flow_depletion,100,3.377727666297846,5.2326519039373,-0.3354801001722991,0.3733461041649334,786
5,M3_interaction,100,3.4065739594978357,5.383940648619505,-0.29133594079832126,0.3716685896443274,786
5,M0_controls,500,4.206574296398309,4.4259825583769,-2.2739856522152317,-0.041198751165855065,112
5,M1_flow,500,5.036263288602127,5.350289966187644,-3.0652335207942536,-0.12070608959848474,112
5,M2_flow_depletion,500,5.384019795885632,5.656366413081209,-2.973959466566595,-0.1311877506724832,112
5,M3_interaction,500,5.813114911639128,7.304133334431881,-2.5951708050938445,-0.13818408817040537,112
10,M0_controls,10,3.118851205571134,4.497547707273538,0.8977607762991837,0.8959899532893334,870
10,M1_flow,10,3.030210449587141,4.4188352237824375,0.8772309082595743,0.8978436093092689,870
10,M2_flow_depletion,10,2.9884330164204265,4.39289877816898,0.8654618812280199,0.8947896841557005,870
10,M3_interaction,10,2.988130369908689,4.392470488118589,0.8651428117454268,0.8947781196518436,870
10,M0_controls,50,4.6455154457698535,6.761062188137669,-0.10009870324024567,0.7271208126422598,828
10,M1_flow,50,4.53859963386096,6.5783835671000706,-0.14783637009404596,0.7302806081397738,828
10,M2_flow_depletion,50,4.513095361487995,6.559500797623783,-0.1471388472586059,0.728159666916329,828
10,M3_interaction,50,4.560860592593261,6.661482972175335,-0.0923793474817976,0.7167843144397932,828
10,M0_controls,100,3.4374989407742342,5.40232236384241,-0.29238466488366205,0.3685131270499355,786
