source,lookback_window,m3_minus_m2_auc
sequence,5,-0.0004172192749778425
sequence,10,-7.183908045960141e-05
sequence,20,-0.00040340406719707733
sequence,50,-0.0008703580901856522
sequence,100,-0.0038986516357205625
sequence,200,-0.008858311229000826
sequence,500,0.001168766578249214
local_shuffled_null,5,7.57460990759018e-05
local_shuffled_null,10,0.00010099479876779505
local_shuffled_null,20,-0.000498661818916224
local_shuffled_null,50,-0.08615487552391077
local_shuffled_null,100,9.468262384493276e-05
local_shuffled_null,200,-0.009354643235873428
local_shuffled_null,500,1.2624349846057648e-05
