step,event_type,order_side,order_price,order_qty,cancel_side,cancel_qty,cancel_price,trade_price,buy_trade_qty,sell_trade_qty,trade_qty,best_bid,best_ask,mid_price,markout_mid_price,spread,bid_depth,ask_depth,imbalance,last_trade_price,microprice,microprice_deviation,spread_bps,queue_imbalance,signed_trade_volume,order_flow_imbalance,pre_best_bid,pre_best_ask,pre_bid_depth,pre_ask_depth,signed_trade_qty,recent_signed_trade_flow,recent_trade_volume,recent_volatility,recent_mid_move
1,cancel,buy,,1,buy,13,9999.0,,0,0,0,9998.0,10001.0,9999.5,9999.5,3.0,110,95,0.07317073170731707,,9999.609756097561,0.10975609756133053,3.000150007500375,0.07317073170731707,0,0.0,9999.0,10001.0,95,95,0,0.0,0.0,0.0,0.0
2,limit,buy,9995.0,1,,0,,,0,0,0,9998.0,10001.0,9999.5,9999.5,3.0,111,95,0.07766990291262135,,9999.616504854368,0.11650485436803137,3.000150007500375,0.07766990291262135,0,0.0,9998.0,10001.0,110,95,0,0.0,0.0,0.0,0.0
3,market,buy,,12,,0,,10001.0,12,0,12,9998.0,10001.0,9999.5,9999.5,3.0,111,83,0.14432989690721648,10001.0,9999.716494845361,0.21649484536101227,3.000150007500375,0.14432989690721648,12,1.0,9998.0,10001.0,111,95,12,12.0,12.0,0.0,0.0
4,limit,buy,9997.0,7,,0,,,0,0,0,9998.0,10001.0,9999.5,9999.5,3.0,118,83,0.17412935323383086,10001.0,9999.76119402985,0.26119402985023044,3.000150007500375,0.17412935323383086,0,0.0,9998.0,10001.0,111,83,0,12.0,12.0,0.0,0.0
5,limit,buy,9998.0,7,,0,,,0,0,0,9998.0,10001.0,9999.5,9999.5,3.0,125,83,0.20192307692307693,10001.0,9999.802884615385,0.3028846153847553,3.000150007500375,0.20192307692307693,0,0.0,9998.0,10001.0,118,83,0,12.0,12.0,0.0,0.0
6,limit,sell,9996.0,4,,0,,9998.0,0,4,4,9998.0,10001.0,9999.5,9999.5,3.0,121,83,0.18627450980392157,9998.0,9999.779411764706,0.27941176470631035,3.000150007500375,0.18627450980392157,-4,-1.0,9998.0,10001.0,125,83,-4,8.0,16.0,0.0,0.0
7,market,sell,,9,,0,,9998.0,0,9,9,9998.0,10001.0,9999.5,9999.5,3.0,112,83,0.14871794871794872,9998.0,9999.723076923077,0.22307692307731486,3.000150007500375,0.14871794871794872,-9,-1.0,9998.0,10001.0,121,83,-9,-1.0,25.0,0.0,0.0
8,cancel,buy,,1,buy,3,9998.0,,0,0,0,9998.0,10001.0,9999.5,9999.5,3.0,109,83,0.13541666666666666,9998.0,9999.703125,0.203125,3.000150007500375,0.13541666666666666,0,0.0,9998.0,10001.0,112,83,0,-1.0,25.0,0.0,0.0
9,limit,sell,10001.0,9,,0,,,0,0,0,9998.0,10001.0,9999.5,9999.5,3.0,109,92,0.0845771144278607,9998.0,9999.626865671642,0.12686567164200824,3.000150007500375,0.0845771144278607,0,0.0,9998.0,10001.0,109,83,0,-1.0,25.0,0.0,0.0
10,market,sell,,6,,0,,9998.0,0,6,6,9998.0,10001.0,9999.5,9999.5,3.0,103,92,0.05641025641025641,9998.0,9999.584615384616,0.08461538461597229,3.000150007500375,0.05641025641025641,-6,-1.0,9998.0,10001.0,109,92,-6,-7.0,31.0,0.0,0.0
11,limit,sell,10001.0,16,,0,,,0,0,0,9998.0,10001.0,9999.5,9999.5,3.0,103,108,-0.023696682464454975,9998.0,9999.464454976303,-0.0355450236966135,3.000150007500375,-0.023696682464454975,0,0.0,9998.0,10001.0,103,92,0,-7.0,31.0,0.0,0.0
12,limit,sell,10002.0,3,,0,,,0,0,0,9998.0,10001.0,9999.5,9999.5,3.0,103,111,-0.037383177570093455,9998.0,9999.443925233645,-0.05607476635486819,3.000150007500375,-0.037383177570093455,0,0.0,9998.0,10001.0,103,108,0,-7.0,31.0,0.0,0.0
13,limit,buy,9996.0,1,,0,,,0,0,0,9998.0,10001.0,9999.5,9999.5,3.0,104,111,-0.03255813953488372,9998.0,9999.451162790698,-0.04883720930229174,3.000150007500375,-0.03255813953488372,0,0.0,9998.0,10001.0,103,111,0,-7.0,31.0,0.0,0.0
14,limit,buy,9998.0,12,,0,,,0,0,0,9998.0,10001.0,9999.5,9999.5,3.0,116,111,0.022026431718061675,9998.0,9999.533039647577,0.03303964757651556,3.000150007500375,0.022026431718061675,0,0.0,9998.0,10001.0,104,111,0,-7.0,31.0,0.0,0.0
15,limit,sell,10002.0,8,,0,,,0,0,0,9998.0,10001.0,9999.5,9999.5,3.0,116,119,-0.01276595744680851,9998.0,9999.48085106383,-0.019148936169585795,3.000150007500375,-0.01276595744680851,0,0.0,9998.0,10001.0,116,111,0,-7.0,31.0,0.0,0.0
16,limit,sell,10003.0,7,,0,,,0,0,0,9998.0,10001.0,9999.5,9999.5,3.0,116,126,-0.04132231404958678,9998.0,9999.438016528926,-0.06198347107419977,3.000150007500375,-0.04132231404958678,0,0.0,9998.0,10001.0,116,119,0,-7.0,31.0,0.0,0.0
17,limit,buy,9995.0,2,,0,,,0,0,0,9998.0,10001.0,9999.5,9999.5,3.0,118,126,-0.03278688524590164,9998.0,9999.45081967213,-0.049180327869180473,3.000150007500375,-0.03278688524590164,0,0.0,9998.0,10001.0,116,126,0,-7.0,31.0,0.0,0.0
18,limit,buy,9997.0,7,,0,,,0,0,0,9998.0,10001.0,9999.5,9999.5,3.0,125,126,-0.00398406374501992,9998.0,9999.494023904383,-0.005976095617370447,3.000150007500375,-0.00398406374501992,0,0.0,9998.0,10001.0,118,126,0,-7.0,31.0,0.0,0.0
