interval_seconds,count
1.0,1030656
1.102144,1
1.15399,1
1.27726,1
1.390688,1
1.465266,1
1.484024,1
1.570542,1
1.668881,1
1.701902,1
1.722258,1
1.738894,1
1.740723,1
1.74706,1
1.748121,1
1.795387,1
1.8206,1
1.822336,1
1.857894,1
1.86871,1
1.876782,1
1.880642,1
1.885696,1
1.905901,1
1.906165,1
1.941172,1
1.941661,1
1.943746,1
1.946555,1
1.950517,1
1.955757,1
1.962231,1
1.982864,1
1.986911,1
1.992064,1
2.002951,1
2.004693,1
2.006507,1
2.011821,1
2.01316,1
2.021497,1
2.043533,1
2.049119,1
2.052603,1
2.054142,1
2.058436,1
2.065116,1
2.066511,1
2.07735,1
2.081347,1
2.083063,1
2.086964,1
2.103993,1
2.110439,1
2.148264,1
2.221603,1
2.255357,1
2.266942,1
2.26826,1
2.269072,1
2.299839,1
2.303479,1
2.329775,1
2.504599,1
2.614012,1
12.008733,1
12.104548,1
12.182955,1
12.709971,1
13.261426,1
27.786342,1
30.000617,1
