lookback_window,model,roc_auc,brier_score,log_loss,fill_rate,n
5,M0_controls,0.5143650530503978,0.23379433448349515,0.6553330267862736,0.6765163297045101,1286
5,M1_flow,0.5195236516357207,0.23230440188806503,0.6516370872229791,0.6765163297045101,1286
5,M2_flow_depletion,0.5216346153846154,0.23213413294552748,0.6529869767431188,0.6765163297045101,1286
5,M3_interaction,0.5212173961096376,0.23221284138244527,0.652592455847062,0.6765163297045101,1286
10,M0_controls,0.5143650530503978,0.23379433448349515,0.6553330267862736,0.6765163297045101,1286
10,M1_flow,0.5035546529619805,0.233307692028408,0.6539378394430062,0.6765163297045101,1286
10,M2_flow_depletion,0.5043393567639257,0.2332933522984256,0.6544577493178567,0.6765163297045101,1286
10,M3_interaction,0.5042675176834661,0.23311478656913903,0.6541444526948428,0.6765163297045101,1286
20,M0_controls,0.5143650530503978,0.23379433448349515,0.6553330267862736,0.6765163297045101,1286
20,M1_flow,0.4911347811671088,0.23355531706549257,0.6543975630133333,0.6765163297045101,1286
20,M2_flow_depletion,0.49145114942528734,0.23325544055544817,0.6538594263382379,0.6765163297045101,1286
20,M3_interaction,0.49104774535809026,0.2333884657664894,0.653637278282306,0.6765163297045101,1286
50,M0_controls,0.5143650530503978,0.23379433448349515,0.6553330267862736,0.6765163297045101,1286
50,M1_flow,0.5268553824049513,0.2291200725524633,0.6429868417881159,0.6765163297045101,1286
50,M2_flow_depletion,0.526982482316534,0.22710456273951007,0.6397973417469027,0.6765163297045101,1286
50,M3_interaction,0.5261121242263483,0.2273770120620167,0.6397798276988453,0.6765163297045101,1286
100,M0_controls,0.5143650530503978,0.23379433448349515,0.6553330267862736,0.6765163297045101,1286
100,M1_flow,0.523534206454465,0.23395386810683436,0.6504625893170999,0.6765163297045101,1286
100,M2_flow_depletion,0.5240937223695844,0.2340652449311277,0.6510996194332379,0.6765163297045101,1286
100,M3_interaction,0.5201950707338638,0.24072931161926658,0.6656828849428635,0.6765163297045101,1286
200,M0_controls,0.5143650530503978,0.23379433448349515,0.6553330267862736,0.6765163297045101,1286
200,M1_flow,0.4703235521662245,0.24988124136158815,0.6862445557522534,0.6765163297045101,1286
200,M2_flow_depletion,0.46699823165340404,0.24035123872100825,0.6666740127321705,0.6765163297045101,1286
200,M3_interaction,0.4581399204244032,0.2614142330262518,0.8199935018265307,0.6765163297045101,1286
500,M0_controls,0.5143650530503978,0.23379433448349515,0.6553330267862736,0.6765163297045101,1286
500,M1_flow,0.44633620689655173,0.25720069768885606,0.7034675784178628,0.6765163297045101,1286
500,M2_flow_depletion,0.4964025198938992,0.25314137173271856,0.6927087529934749,0.6765163297045101,1286
500,M3_interaction,0.49757128647214843,0.2519308022320938,0.6894455097010983,0.6765163297045101,1286
