fill_prob_decile,n,mean_pred_fill_prob,realized_fill_rate,realized_fill_rate_ci95
1,129,0.33138095466282996,0.46511627906976744,0.08607393869035777
2,129,0.4690984901156139,0.6744186046511628,0.080864103744151
3,128,0.4944015043807385,0.71875,0.07789082089995425
4,129,0.5125560483621867,0.8604651162790697,0.059795602728597276
5,129,0.5344562605369675,0.7829457364341085,0.07113956552586893
6,128,0.5552583120091534,0.7421875,0.07578092280051785
7,128,0.5802224477714648,0.5859375,0.08533155961974838
8,129,0.6020976927025744,0.5038759689922481,0.08628159626281967
9,128,0.624907098084065,0.6171875,0.08420787394261624
10,129,0.834688108803551,0.813953488372093,0.0671539829837563
