split,side,proxy,formation_window,horizon,low_pressure_mean_markout_bps,high_pressure_mean_markout_bps,high_minus_low_markout_bps,rank_correlation,low_count,high_count
test,buy,P3_full_depth_norm,1,1,0.10268356679770005,-0.07490254660119489,-0.17758611339889493,-0.06265302784589373,74941,22452
test,buy,P3_full_depth_norm,1,5,0.1854002174042151,-0.1335507825515945,-0.3189509999558096,-0.03157671925181066,74916,22448
test,buy,P3_full_depth_norm,1,10,0.18706392895547175,-0.13113590959155969,-0.31819983854703143,-0.018786144823681915,74887,22438
test,buy,P3_full_depth_norm,1,30,0.2153468810034826,-0.4945611885826548,-0.7099080695861374,-0.015708659078961018,74774,22402
test,buy,P3_full_depth_norm,1,60,0.18590304070980265,-0.8698566124996387,-1.0557596532094413,-0.020391058740293448,74595,22349
test,buy,P3_full_depth_norm,1,300,-0.7869057052122445,-1.9859737713601266,-1.1990680661478823,-0.016487669158003194,73382,21879
test,buy,P3_full_depth_norm,2,1,0.08194977700248256,-0.06822682637964438,-0.15017660338212693,-0.05268922450616634,79137,21016
test,buy,P3_full_depth_norm,2,5,0.13918430593935455,-0.13208521958395297,-0.2712695255233075,-0.026969997549200812,79111,21013
test,buy,P3_full_depth_norm,2,10,0.13739264454397668,-0.13656165269337167,-0.2739542972373483,-0.01716546691809724,79074,21003
test,buy,P3_full_depth_norm,2,30,0.1798436954908291,-0.47198256703585095,-0.6518262625266801,-0.015729248553408483,78962,20972
test,buy,P3_full_depth_norm,2,60,0.16331229894886778,-0.8948701259476028,-1.0581824248964706,-0.02153270274198713,78777,20924
test,buy,P3_full_depth_norm,2,300,-0.9568220604256101,-2.174423368591392,-1.217601308165782,-0.01817893456761443,77512,20427
test,buy,P3_full_depth_norm,5,1,0.04768511659314402,-0.0636155797303707,-0.11130069632351472,-0.037030336102292546,86803,19016
test,buy,P3_full_depth_norm,5,5,0.07613056893764353,-0.14624815083953874,-0.22237871977718227,-0.016956057135155023,86769,19011
test,buy,P3_full_depth_norm,5,10,0.088700543731942,-0.23775312499760695,-0.32645366872954895,-0.012674006621309061,86733,18998
test,buy,P3_full_depth_norm,5,30,0.1108978357592308,-0.6924306978322234,-0.8033285335914543,-0.014744593152509361,86617,18965
test,buy,P3_full_depth_norm,5,60,0.11073455790168744,-1.1205939722485754,-1.2313285301502628,-0.022682643953480176,86416,18920
test,buy,P3_full_depth_norm,5,300,-1.1122375547391756,-2.340225582310487,-1.2279880275713115,-0.02057096639689496,85013,18486
test,buy,P3_full_depth_norm,10,1,0.02502455800501227,-0.06126049387743174,-0.08628505188244401,-0.023513051680123614,94234,16812
test,buy,P3_full_depth_norm,10,5,0.04026759243907195,-0.19305621369901813,-0.23332380613809006,-0.011920839687266331,94201,16804
test,buy,P3_full_depth_norm,10,10,0.058737085865705294,-0.37538651793114486,-0.43412360379685017,-0.009069660919877908,94160,16790
test,buy,P3_full_depth_norm,10,30,0.11996542410365696,-0.9262252731759888,-1.0461906972796458,-0.015433829801609312,94037,16753
test,buy,P3_full_depth_norm,10,60,0.13545780841360777,-1.5160938338883274,-1.6515516423019352,-0.024242100823011682,93821,16718
test,buy,P3_full_depth_norm,10,300,-1.2036882508823208,-2.1999211286989664,-0.9962328778166456,-0.022359511222723356,92329,16333
test,buy,P3_full_depth_norm,30,1,0.012919065470726646,-0.05573661524740918,-0.06865568071813583,-0.011037686814319604,106841,13123
test,buy,P3_full_depth_norm,30,5,0.03659200237561355,-0.22899300133513226,-0.2655850037107458,-0.006774145347219174,106800,13115
test,buy,P3_full_depth_norm,30,10,0.06518927906507647,-0.40958248610172093,-0.4747717651667974,-0.00679336523812799,106759,13102
test,buy,P3_full_depth_norm,30,30,0.1677940251135881,-1.0682100403349477,-1.2360040654485358,-0.019762275552529917,106604,13051
test,buy,P3_full_depth_norm,30,60,0.1951089070073452,-2.200426344434816,-2.395535251442161,-0.026572205700197193,106382,13042
test,buy,P3_full_depth_norm,30,300,-1.0679215955438623,-0.7868614780665725,0.2810601174772899,-0.0265229618799661,104755,12720
test,buy,P3_full_depth_norm,60,1,0.006560630301804834,-0.07624726376402928,-0.08280789406583411,-0.0068893451356801805,116480,10922
test,buy,P3_full_depth_norm,60,5,0.022578270561101062,-0.33708502988564976,-0.3596633004467508,-0.0072082184851981305,116437,10918
test,buy,P3_full_depth_norm,60,10,0.03777613240138518,-0.6622515516175094,-0.7000276840188946,-0.010237788648137338,116387,10913
test,buy,P3_full_depth_norm,60,30,0.11375844242099256,-1.868314614778786,-1.9820730571997784,-0.02024496207520335,116209,10873
test,buy,P3_full_depth_norm,60,60,0.19414132099633902,-3.613054199788899,-3.807195520785238,-0.025345045149861998,115979,10841
test,buy,P3_full_depth_norm,60,300,-0.8656991681861369,-0.28802898911633257,0.5776701790698043,-0.028443949944787245,114217,10558
test,sell,P3_full_depth_norm,1,1,0.10705754466280276,-0.05159949753651768,-0.15865704219932045,-0.05455715227801878,66042,22506
test,sell,P3_full_depth_norm,1,5,0.19023690232389714,-0.013887157101180499,-0.20412405942507764,-0.02765965924793362,66002,22504
test,sell,P3_full_depth_norm,1,10,0.26624114864377735,0.010479156054476156,-0.2557619925893012,-0.021927217507898486,65974,22498
test,sell,P3_full_depth_norm,1,30,0.3316773245109209,0.051986172317635665,-0.2796911521932852,-0.003230811919394255,65835,22479
test,sell,P3_full_depth_norm,1,60,0.4080142754324729,0.14856065348643815,-0.2594536219460347,0.004348950390008632,65654,22442
test,sell,P3_full_depth_norm,1,300,1.4666878058627855,1.9690408859331519,0.5023530800703664,0.021688242966202254,64416,22111
test,sell,P3_full_depth_norm,2,1,0.0868200858259898,-0.046363995872047654,-0.13318408169803744,-0.04617882665428505,69086,21170
test,sell,P3_full_depth_norm,2,5,0.1584529017485822,-0.006092215902802573,-0.16454511765138477,-0.025016068821474367,69048,21166
test,sell,P3_full_depth_norm,2,10,0.2417953335635921,0.004066589332527639,-0.23772874423106446,-0.021627872645301572,69015,21162
test,sell,P3_full_depth_norm,2,30,0.32516821329645,0.09739172572274561,-0.2277764875737044,-0.0024942472934219376,68875,21140
test,sell,P3_full_depth_norm,2,60,0.38275017392947586,0.23778610928715793,-0.14496406464231792,0.004738120549993811,68681,21104
test,sell,P3_full_depth_norm,2,300,1.3535383583864171,2.1355606469569155,0.7820222885704984,0.02332303272720943,67402,20779
test,sell,P3_full_depth_norm,5,1,0.04875465173938773,-0.03283495578480902,-0.08158960752419675,-0.02804013204300137,75366,19093
test,sell,P3_full_depth_norm,5,5,0.10398130786718002,-0.026337209881528757,-0.13031851774870878,-0.0196332874847424,75333,19092
test,sell,P3_full_depth_norm,5,10,0.16775076967207078,-0.0035130470270556104,-0.17126381669912638,-0.0173777927654781,75292,19089
test,sell,P3_full_depth_norm,5,30,0.22926473382855364,0.04689762702940211,-0.18236710679915152,0.0018374426768890144,75135,19067
test,sell,P3_full_depth_norm,5,60,0.32800186175836554,0.1836616605510787,-0.14434020120728686,0.008228804214757643,74926,19023
test,sell,P3_full_depth_norm,5,300,1.4011826857281349,2.1063724826284584,0.7051897969003236,0.028916530167225105,73529,18759
test,sell,P3_full_depth_norm,10,1,0.03319521842289843,-0.04120283616848417,-0.0743980545913826,-0.0207644232365863,80882,17272
test,sell,P3_full_depth_norm,10,5,0.07044588861733604,-0.039740145965552906,-0.11018603458288895,-0.016075249699156326,80847,17269
test,sell,P3_full_depth_norm,10,10,0.08845761528178245,-0.009201438954505342,-0.09765905423628779,-0.010517976783287664,80800,17269
test,sell,P3_full_depth_norm,10,30,0.126294327475999,-0.003569944491107489,-0.12986427196710648,0.007610280371598774,80645,17242
test,sell,P3_full_depth_norm,10,60,0.24030262760633148,0.11751223341371451,-0.12279039419261696,0.011532874270368228,80413,17207
test,sell,P3_full_depth_norm,10,300,1.3211171743373824,2.417970416428732,1.0968532420913495,0.03405836835555515,78873,16975
test,sell,P3_full_depth_norm,30,1,0.009213690165578435,-0.006436146755548242,-0.015649836921126675,-0.005110670879849387,91264,13816
test,sell,P3_full_depth_norm,30,5,0.008296713405803645,0.006699071518813202,-0.0015976418869904432,0.0010567553705535732,91224,13812
test,sell,P3_full_depth_norm,30,10,0.0029706473957095284,0.014862747424917788,0.01189210002920826,0.005115513159732626,91176,13804
test,sell,P3_full_depth_norm,30,30,-0.011602126672669064,0.042573003503854484,0.05417513017652355,0.017969267552194985,91007,13775
test,sell,P3_full_depth_norm,30,60,0.07673265823748227,0.25600382971922436,0.1792711714817421,0.01827255549345857,90753,13761
test,sell,P3_full_depth_norm,30,300,1.1415758522337742,3.288896970228571,2.147321117994797,0.043918270048772357,89131,13588
test,sell,P3_full_depth_norm,60,1,0.0024418713709958412,-0.00919036819882883,-0.011632239569824671,-0.001849565902461229,99112,11953
test,sell,P3_full_depth_norm,60,5,-0.011993883994182664,0.0014380550259324191,0.013431939020115084,0.00509370121063365,99068,11953
test,sell,P3_full_depth_norm,60,10,-0.03414895175722694,-0.00617340939566056,0.027975542361566377,0.008188381549747178,99014,11948
test,sell,P3_full_depth_norm,60,30,-0.02775647956661583,-0.11908045943156798,-0.09132397986495214,0.014641630537885137,98819,11925
test,sell,P3_full_depth_norm,60,60,0.10276389949420062,-0.2914168800282932,-0.3941807795224938,0.017624232586796164,98607,11921
test,sell,P3_full_depth_norm,60,300,0.9792249600550682,4.592328331134437,3.613103371079369,0.04885853250907191,96912,11742
