side,proxy,omitted_test_day,formation_window,horizon,low_mean_markout_bps,high_mean_markout_bps,high_minus_low_markout_bps,rank_correlation,observation_count,low_count,high_count
buy,P2_market_cancel_raw,2021-04-17,10,60,-0.8918996222264165,-0.5270408109687799,0.36485881125763664,0.02616446849123168,121499,30258,8126
buy,P2_market_cancel_raw,2021-04-18,10,60,-0.4807911284654864,0.39405089262175297,0.8748420210872394,0.02731456592889164,121499,25915,13848
buy,P2_market_cancel_raw,2021-04-19,10,60,-1.05868094913349,-0.4940517847876863,0.5646291643458038,0.03545395376140767,172058,40785,14878
buy,P3_depth_normalized,2021-04-17,10,60,0.13849406938584408,-4.213556388007877,-4.352050457393721,-0.02938344244332215,121499,67975,6245
buy,P3_depth_normalized,2021-04-18,10,60,0.20170502344957503,0.1269619342039735,-0.07474308924560152,-0.018205791801550613,121499,43993,11845
buy,P3_depth_normalized,2021-04-19,10,60,0.09421770519896226,-1.68658398914551,-1.7808016943444724,-0.029521905348413858,172058,75674,15346
sell,P2_market_cancel_raw,2021-04-17,10,60,-0.4648653167278052,1.8817483561602673,2.3466136728880724,0.04637819557399075,121499,25638,12249
sell,P2_market_cancel_raw,2021-04-18,10,60,-0.5771847463860309,0.6667010038399598,1.2438857502259908,0.06356451864955155,121499,26220,17414
sell,P2_market_cancel_raw,2021-04-19,10,60,-0.44262439422505073,1.4132698617819062,1.855894256006957,0.05675566773335847,172058,37098,21421
sell,P3_depth_normalized,2021-04-17,10,60,0.3855255898804581,-0.7167143265108321,-1.1022399163912902,0.005436625595222365,121499,58594,6551
sell,P3_depth_normalized,2021-04-18,10,60,-0.10787847337126213,0.44007879844563486,0.547957271816897,0.026735818509729024,121499,35714,12589
sell,P3_depth_normalized,2021-04-19,10,60,0.29932042111821716,0.20944805290296806,-0.0898723682152491,0.017143372722032306,172058,66518,15274
