split,side,formation_window,horizon,model,r2,mae,rank_correlation,directional_accuracy,coefficient_last_feature,last_feature,train_count,eval_count,m0_r2,incremental_r2_vs_m0
validation,buy,1,1,M0_controls,0.04770543940520677,0.46563593665119607,0.24900376225896637,0.29518444204352523,0.014816473492316493,recent_volatility_1s,563083,259160,0.04770543940520677,0.0
test,buy,1,1,M0_controls,0.021069881240131205,0.6483092768294981,0.2292481295042829,0.31850220475690094,0.014816473492316493,recent_volatility_1s,563083,208413,0.021069881240131205,0.0
validation,buy,1,1,M1_market,0.048105084362991546,0.4660417182904848,0.24798905124189882,0.2947561352060503,-0.024937304806760426,market_pressure_1s,563083,259160,0.04770543940520677,0.0003996449577847727
test,buy,1,1,M1_market,0.022817531496516663,0.6483951457230923,0.22890783993883473,0.31829108548890905,-0.024937304806760426,market_pressure_1s,563083,208413,0.021069881240131205,0.001747650256385458
validation,buy,1,1,M2_market_cancel,0.048326545620331895,0.4664924324643334,0.24786334960382067,0.2948526007099861,0.0200430334331009,cancellation_1s,563083,259160,0.04770543940520677,0.0006211062151251223
test,buy,1,1,M2_market_cancel,0.02266012199974432,0.6486123740357851,0.23001565867138737,0.31853099374799076,0.0200430334331009,cancellation_1s,563083,208413,0.021069881240131205,0.0015902407596131152
validation,buy,1,1,M3_market_cancel_replenish,0.05378407909823413,0.4672382449778503,0.25791866818250786,0.29624556258681894,0.08566327738592006,replenishment_1s,563083,259160,0.04770543940520677,0.0060786396930273545
test,buy,1,1,M3_market_cancel_replenish,0.02638429742282622,0.6483889407436654,0.2417381420385703,0.320234342387471,0.08566327738592006,replenishment_1s,563083,208413,0.021069881240131205,0.005314416182695014
validation,buy,1,1,M4_full_proxy,0.05100905259522115,0.4659579596838119,0.257706671679096,0.2972410865874363,-0.03220860282719391,p3_depth_norm_1s,563083,259160,0.04770543940520677,0.003303613190014376
test,buy,1,1,M4_full_proxy,0.023818474651058796,0.6475803639513391,0.23898696337657668,0.321232360745251,-0.03220860282719391,p3_depth_norm_1s,563083,208413,0.021069881240131205,0.002748593410927591
validation,buy,1,5,M0_controls,0.04208073132580514,1.4305106881962724,0.2628610263831342,0.46510838016426853,0.04903679401136077,recent_volatility_1s,562927,259088,0.04208073132580514,0.0
test,buy,1,5,M0_controls,0.019169097143743374,1.9826304700618171,0.22886262863265114,0.46040613766060484,0.04903679401136077,recent_volatility_1s,562927,208353,0.019169097143743374,0.0
validation,buy,1,5,M1_market,0.043244817454804796,1.430356913959337,0.2629560230878178,0.46467609460878156,-0.0522456450624373,market_pressure_1s,562927,259088,0.04208073132580514,0.001164086128999653
test,buy,1,5,M1_market,0.021599709594473437,1.9818370884563916,0.22981746997658162,0.4608860923528819,-0.0522456450624373,market_pressure_1s,562927,208353,0.019169097143743374,0.002430612450730063
validation,buy,1,5,M2_market_cancel,0.043318798485107224,1.4306124117624457,0.263743928999079,0.4652550484777373,0.054598064398612416,cancellation_1s,562927,259088,0.04208073132580514,0.0012380671593020809
test,buy,1,5,M2_market_cancel,0.021793995603672234,1.9818586358569952,0.23184647919468826,0.46087169371211356,0.054598064398612416,cancellation_1s,562927,208353,0.019169097143743374,0.0026248984599288594
validation,buy,1,5,M3_market_cancel_replenish,0.04489508068043169,1.4300455652414568,0.2665091340305777,0.4668452417711357,0.11532931503172182,replenishment_1s,562927,259088,0.04208073132580514,0.002814349354626544
test,buy,1,5,M3_market_cancel_replenish,0.023078122944590218,1.9809739756000746,0.2352885884346203,0.46217717047510715,0.11532931503172182,replenishment_1s,562927,208353,0.019169097143743374,0.003909025800846844
validation,buy,1,5,M4_full_proxy,0.043436857722372824,1.4301095774876558,0.2658766498364627,0.4662083925152844,-0.046254794795269775,p3_depth_norm_1s,562927,259088,0.04208073132580514,0.0013561263965676806
test,buy,1,5,M4_full_proxy,0.020235915842496954,1.9815288821721988,0.23227409713143032,0.4617596098928261,-0.046254794795269775,p3_depth_norm_1s,562927,208353,0.019169097143743374,0.00106681869875358
validation,buy,1,10,M0_controls,0.034988683024729905,2.251245787010092,0.23411821919173242,0.5283052378782848,0.06075721500237982,recent_volatility_1s,562732,258998,0.034988683024729905,0.0
test,buy,1,10,M0_controls,0.01638768768786747,3.1242883621180657,0.2108083536854266,0.5222587119138843,0.06075721500237982,recent_volatility_1s,562732,208278,0.01638768768786747,0.0
validation,buy,1,10,M1_market,0.03608522683362925,2.2506896132057226,0.23477380430146685,0.5283013768446089,-0.06381866762506085,market_pressure_1s,562732,258998,0.034988683024729905,0.0010965438088993418
test,buy,1,10,M1_market,0.018193168991395114,3.123085390217918,0.21173974478609203,0.5226044037296306,-0.06381866762506085,market_pressure_1s,562732,208278,0.01638768768786747,0.0018054813035276451
validation,buy,1,10,M2_market_cancel,0.03616681604330174,2.2504400611649693,0.23561444435827927,0.5289268643001104,0.07934435212318709,cancellation_1s,562732,258998,0.034988683024729905,0.0011781330185718364
test,buy,1,10,M2_market_cancel,0.01851843584926882,3.1227780182966915,0.2140209456308264,0.5228348649401281,0.07934435212318709,cancellation_1s,562732,208278,0.01638768768786747,0.0021307481614013524
validation,buy,1,10,M3_market_cancel_replenish,0.03687744215967126,2.2496737985203765,0.23700591476952965,0.5301817002447895,0.09742244565683457,replenishment_1s,562732,258998,0.034988683024729905,0.0018887591349413535
test,buy,1,10,M3_market_cancel_replenish,0.01912902664232352,3.1219527238282625,0.21577687811375,0.5235214472964019,0.09742244565683457,replenishment_1s,562732,208278,0.01638768768786747,0.002741338954456052
validation,buy,1,10,M4_full_proxy,0.035814684314628864,2.250574033389035,0.23615801031336428,0.5301122016386227,-0.0482323622172902,p3_depth_norm_1s,562732,258998,0.034988683024729905,0.0008260012898989588
test,buy,1,10,M4_full_proxy,0.017001031930035992,3.1234012206962194,0.21296354437096304,0.5229693006462517,-0.0482323622172902,p3_depth_norm_1s,562732,208278,0.01638768768786747,0.0006133442421685231
validation,buy,1,30,M0_controls,0.014694154595187414,4.39721089955371,0.1380198594026261,0.5437213402516258,0.05928893732215264,recent_volatility_1s,561952,258638,0.014694154595187414,0.0
test,buy,1,30,M0_controls,0.008213169032775025,6.243742112136244,0.1319399949114126,0.5420669493888777,0.05928893732215264,recent_volatility_1s,561952,207978,0.008213169032775025,0.0
validation,buy,1,30,M1_market,0.015412269062988981,4.397060776191413,0.13851496143940428,0.5438489317115041,-0.07616408222038926,market_pressure_1s,561952,258638,0.014694154595187414,0.0007181144678015672
test,buy,1,30,M1_market,0.01018893982709601,6.242219677406958,0.13315853463243013,0.5424948792660762,-0.07616408222038926,market_pressure_1s,561952,207978,0.008213169032775025,0.0019757707943209857
validation,buy,1,30,M2_market_cancel,0.015024732278338115,4.397287189772847,0.13756842550851733,0.5440615841446346,0.14295842451776508,cancellation_1s,561952,258638,0.014694154595187414,0.00033057768315070124
test,buy,1,30,M2_market_cancel,0.0108059571504584,6.242182220204188,0.13451167639643158,0.5418890459567839,0.14295842451776508,cancellation_1s,561952,207978,0.008213169032775025,0.0025927881176833756
validation,buy,1,30,M3_market_cancel_replenish,0.015157985505167004,4.396899043231094,0.13805520458147533,0.5442742365777651,0.04631844983565337,replenishment_1s,561952,258638,0.014694154595187414,0.0004638309099795901
test,buy,1,30,M3_market_cancel_replenish,0.010958393886928541,6.242030389332486,0.13483053980956977,0.542240044620104,0.04631844983565337,replenishment_1s,561952,207978,0.008213169032775025,0.0027452248541535162
validation,buy,1,30,M4_full_proxy,0.014994181183571875,4.396572553938578,0.1391272591204469,0.5444482249321445,-0.036230214378089855,p3_depth_norm_1s,561952,258638,0.014694154595187414,0.00030002658838446106
test,buy,1,30,M4_full_proxy,0.008469126580870845,6.24332844875863,0.13296940894172704,0.5423121676331151,-0.036230214378089855,p3_depth_norm_1s,561952,207978,0.008213169032775025,0.00025595754809581983
validation,buy,1,60,M0_controls,0.008212473240743923,6.483915148489371,0.09835921313807995,0.5331773202426985,0.08041246434754994,recent_volatility_1s,560782,258098,0.008212473240743923,0.0
test,buy,1,60,M0_controls,0.002783068265447497,9.381578896649161,0.08949278742004588,0.530386261131028,0.08041246434754994,recent_volatility_1s,560782,207528,0.002783068265447497,0.0
validation,buy,1,60,M1_market,0.008236183385317064,6.483910356845071,0.09832356741275868,0.5333323001340576,-0.043556229477667775,market_pressure_1s,560782,258098,0.008212473240743923,2.3710144573141356e-05
test,buy,1,60,M1_market,0.003524228179106581,9.380822695188066,0.09000261293792076,0.5305163640568984,-0.043556229477667775,market_pressure_1s,560782,207528,0.002783068265447497,0.0007411599136590841
validation,buy,1,60,M2_market_cancel,0.007747125887738848,6.485182994397935,0.09633881772057036,0.5334562840471448,0.19000400406694348,cancellation_1s,560782,258098,0.008212473240743923,-0.00046534735300507446
test,buy,1,60,M2_market_cancel,0.003985652885843072,9.38067629481798,0.09099752362487291,0.5312102463282063,0.19000400406694348,cancellation_1s,560782,207528,0.002783068265447497,0.0012025846203955748
validation,buy,1,60,M3_market_cancel_replenish,0.007777375072508419,6.485084579045381,0.09650232194923433,0.5336577579059117,0.0171982849943257,replenishment_1s,560782,258098,0.008212473240743923,-0.00043509816823550373
test,buy,1,60,M3_market_cancel_replenish,0.004019744332344644,9.380638491067034,0.09105927041585078,0.5312198835819745,0.0171982849943257,replenishment_1s,560782,207528,0.002783068265447497,0.0012366760668971466
validation,buy,1,60,M4_full_proxy,0.00820717413153782,6.483934799457982,0.09832779198188238,0.5331656967508466,0.0011691535578498202,p3_depth_norm_1s,560782,258098,0.008212473240743923,-5.29910920610277e-06
test,buy,1,60,M4_full_proxy,0.002777599243664719,9.38159613339851,0.08945895565789411,0.5304440846536371,0.0011691535578498202,p3_depth_norm_1s,560782,207528,0.002783068265447497,-5.469021782777972e-06
validation,buy,1,300,M0_controls,-0.002198565566179589,14.977654503723228,0.03036580351021696,0.5068012199639055,0.16047835770115937,recent_volatility_1s,551422,253778,-0.002198565566179589,0.0
test,buy,1,300,M0_controls,9.139512642875047e-05,21.322104896048536,0.03125785508302314,0.5071152563649916,0.16047835770115937,recent_volatility_1s,551422,203928,9.139512642875047e-05,0.0
validation,buy,1,300,M1_market,-0.0022154169474204455,14.977706487251437,0.030261485389445345,0.5067499940893222,-0.013329753322836868,market_pressure_1s,551422,253778,-0.002198565566179589,-1.685138124085661e-05
test,buy,1,300,M1_market,9.54048163442911e-05,21.32207687675418,0.031232418995451972,0.5069730493115218,-0.013329753322836868,market_pressure_1s,551422,203928,9.139512642875047e-05,4.009689915540626e-06
validation,buy,1,300,M2_market_cancel,-0.0022501463945849842,14.978210327498278,0.03041683515427061,0.5071913247011167,0.12638841813726157,cancellation_1s,551422,253778,-0.002198565566179589,-5.158082840539535e-05
test,buy,1,300,M2_market_cancel,0.00020324848712971466,21.321242270491965,0.031088686721007848,0.5070858342159978,0.12638841813726157,cancellation_1s,551422,203928,9.139512642875047e-05,0.00011185336070096419
validation,buy,1,300,M3_market_cancel_replenish,-0.00221219537071371,14.978042048088238,0.030211248796434168,0.5067460536374312,-0.16379076672423,replenishment_1s,551422,253778,-0.002198565566179589,-1.3629804534120993e-05
test,buy,1,300,M3_market_cancel_replenish,0.0003122711504330855,21.320857943648118,0.03106347709137169,0.5070760268329999,-0.16379076672423,replenishment_1s,551422,203928,9.139512642875047e-05,0.00022087602400433504
validation,buy,1,300,M4_full_proxy,-0.002155264597353712,14.97749165647665,0.03033381252026501,0.5061037599791944,0.0689625114888666,p3_depth_norm_1s,551422,253778,-0.002198565566179589,4.330096882587675e-05
test,buy,1,300,M4_full_proxy,0.0002065150851989772,21.321466447157647,0.030719618485988465,0.5065366207681142,0.0689625114888666,p3_depth_norm_1s,551422,203928,9.139512642875047e-05,0.00011511995877022674
validation,buy,2,1,M0_controls,0.0487529782721865,0.4658698389385385,0.25146252636787125,0.295790245408242,0.01496068129950833,recent_volatility_2s,563083,259160,0.0487529782721865,0.0
test,buy,2,1,M0_controls,0.021992583681333278,0.648606351215894,0.23144539041749085,0.31923632402969104,0.01496068129950833,recent_volatility_2s,563083,208413,0.021992583681333278,0.0
validation,buy,2,1,M1_market,0.049278055297221846,0.46619203663239317,0.2504072518516209,0.2952654730668313,-0.022071536806039488,market_pressure_2s,563083,259160,0.0487529782721865,0.0005250770250353476
test,buy,2,1,M1_market,0.02375646609575366,0.6487110670831426,0.23104010982997228,0.3187852965026174,-0.022071536806039488,market_pressure_2s,563083,208413,0.021992583681333278,0.0017638824144203813
validation,buy,2,1,M2_market_cancel,0.04931981452590983,0.4664791660347848,0.25040565396703635,0.29535807995060964,0.015444823866316133,cancellation_2s,563083,259160,0.0487529782721865,0.0005668362537233351
test,buy,2,1,M2_market_cancel,0.023594870268605406,0.648850642710221,0.2319225753048573,0.3188044891633439,0.015444823866316133,cancellation_2s,563083,208413,0.021992583681333278,0.0016022865872721281
validation,buy,2,1,M3_market_cancel_replenish,0.05199999427433666,0.4673758422618987,0.25474573065145845,0.2955355764778515,0.06627573583951225,replenishment_2s,563083,259160,0.0487529782721865,0.0032470160021501604
test,buy,2,1,M3_market_cancel_replenish,0.02571976595531822,0.648914089921105,0.23793150815719563,0.3200855992668404,0.06627573583951225,replenishment_2s,563083,208413,0.021992583681333278,0.0037271822739849414
validation,buy,2,1,M4_full_proxy,0.05105238001423351,0.4662800903308595,0.2568952355961208,0.2967394659669702,-0.02847121477941018,p3_depth_norm_2s,563083,259160,0.0487529782721865,0.0022994017420470136
test,buy,2,1,M4_full_proxy,0.024117235897972433,0.6480903240897977,0.23817351885271362,0.3209924524861693,-0.02847121477941018,p3_depth_norm_2s,563083,208413,0.021992583681333278,0.0021246522166391557
validation,buy,2,5,M0_controls,0.04219384181926622,1.4306910897780134,0.2630188012206761,0.4655522447971346,0.050469378592272726,recent_volatility_2s,562927,259088,0.04219384181926622,0.0
test,buy,2,5,M0_controls,0.019523819895474692,1.9828680769395486,0.22852070262904184,0.4611884638090164,0.050469378592272726,recent_volatility_2s,562927,208353,0.019523819895474692,0.0
validation,buy,2,5,M1_market,0.04349710488804903,1.4304469734318537,0.26316354469941255,0.4651855740134626,-0.04842351389175523,market_pressure_2s,562927,259088,0.04219384181926622,0.0013032630687828117
test,buy,2,5,M1_market,0.022004113741213915,1.9820360908798895,0.22952974768534268,0.46158202665668363,-0.04842351389175523,market_pressure_2s,562927,208353,0.019523819895474692,0.002480293845739223
validation,buy,2,5,M2_market_cancel,0.04352015652114771,1.4305917174145615,0.26401436280154605,0.4658957574260483,0.051036675265467915,cancellation_2s,562927,259088,0.04219384181926622,0.0013263147018814925
test,buy,2,5,M2_market_cancel,0.022184030123328147,1.9819717802940293,0.23168322773492772,0.4615004343589965,0.051036675265467915,cancellation_2s,562927,208353,0.019523819895474692,0.0026602102278534545
validation,buy,2,5,M3_market_cancel_replenish,0.04438318270310426,1.4303882308473637,0.26530930865786195,0.46639751744580993,0.08408677927457583,replenishment_2s,562927,259088,0.04219384181926622,0.0021893408838380424
test,buy,2,5,M3_market_cancel_replenish,0.02294021490192677,1.9813902028117236,0.23374380851614188,0.4622347650381804,0.08408677927457583,replenishment_2s,562927,208353,0.019523819895474692,0.0034163950064520776
validation,buy,2,5,M4_full_proxy,0.043342874695625366,1.4304589768781293,0.2654040337781291,0.4662122522077441,-0.04502098305487647,p3_depth_norm_2s,562927,259088,0.04219384181926622,0.0011490328763591462
test,buy,2,5,M4_full_proxy,0.020479023056651946,1.9818519619006318,0.23148516048335385,0.4613036529351629,-0.04502098305487647,p3_depth_norm_2s,562927,208353,0.019523819895474692,0.0009552031611772538
validation,buy,2,10,M0_controls,0.03498566039839035,2.2514993391527165,0.23397667348277384,0.5284558181916462,0.06328274504831607,recent_volatility_2s,562732,258998,0.03498566039839035,0.0
test,buy,2,10,M0_controls,0.016469008178934263,3.1244939748470464,0.21022190322541684,0.5222203017121347,0.06328274504831607,recent_volatility_2s,562732,208278,0.016469008178934263,0.0
validation,buy,2,10,M1_market,0.036179265791736914,2.2507571452604704,0.2346306950576607,0.5284442350906184,-0.0637924217140768,market_pressure_2s,562732,258998,0.03498566039839035,0.001193605393346564
test,buy,2,10,M1_market,0.018324444707680798,3.123134233142558,0.21132723273320045,0.5225563909774437,-0.0637924217140768,market_pressure_2s,562732,208278,0.016469008178934263,0.0018554365287465346
validation,buy,2,10,M2_market_cancel,0.036208845381536015,2.2504118318577784,0.23542826487903692,0.5291044718492035,0.07771374662143511,cancellation_2s,562732,258998,0.03498566039839035,0.0012231849831456643
test,buy,2,10,M2_market_cancel,0.018648702297560993,3.12275004948081,0.21377388108190268,0.5229741019214703,0.07771374662143511,cancellation_2s,562732,208278,0.016469008178934263,0.0021796941186267293
validation,buy,2,10,M3_market_cancel_replenish,0.036618354328147085,2.2498959007363157,0.23620403603090886,0.5296952100016217,0.06720329816290577,replenishment_2s,562732,258998,0.03498566039839035,0.0016326939297567344
test,buy,2,10,M3_market_cancel_replenish,0.019034748512286148,3.1221922098588712,0.2149129352385538,0.5234302230672466,0.06720329816290577,replenishment_2s,562732,208278,0.016469008178934263,0.0025657403333518847
validation,buy,2,10,M4_full_proxy,0.03579093432482505,2.2507692780286344,0.23598810363024492,0.5298380682476312,-0.04938277668811839,p3_depth_norm_2s,562732,258998,0.03498566039839035,0.000805273926434702
test,buy,2,10,M4_full_proxy,0.01710376099605515,3.1235380557682784,0.21242097330630103,0.5228588713162216,-0.04938277668811839,p3_depth_norm_2s,562732,208278,0.016469008178934263,0.0006347528171208872
validation,buy,2,30,M0_controls,0.014638790636751997,4.397335156607257,0.13770336920961737,0.5436092144232479,0.06196812931972308,recent_volatility_2s,561952,258638,0.014638790636751997,0.0
test,buy,2,30,M0_controls,0.008123264295231136,6.243714097127766,0.13167002846141362,0.5416197867082095,0.06196812931972308,recent_volatility_2s,561952,207978,0.008123264295231136,0.0
validation,buy,2,30,M1_market,0.015454681918448454,4.397112209778661,0.13817741663563832,0.5436092144232479,-0.07746087594017241,market_pressure_2s,561952,258638,0.014638790636751997,0.000815891281696457
test,buy,2,30,M1_market,0.010411263853072783,6.241917285540624,0.13310797738841268,0.5423458250391868,-0.07746087594017241,market_pressure_2s,561952,207978,0.008123264295231136,0.0022879995578416468
validation,buy,2,30,M2_market_cancel,0.01495987071244842,4.397503446733266,0.1368902883012992,0.5436672105413745,0.1510293203968283,cancellation_2s,561952,258638,0.014638790636751997,0.0003210800756964227
test,buy,2,30,M2_market_cancel,0.011085880947996118,6.241887592098701,0.13450078282159833,0.5423073594322476,0.1510293203968283,cancellation_2s,561952,207978,0.008123264295231136,0.002962616652764982
validation,buy,2,30,M3_market_cancel_replenish,0.015006184551119905,4.397352881870675,0.13706082485857693,0.5438759965666298,0.017858559723358834,replenishment_2s,561952,258638,0.014638790636751997,0.00036739391436790836
test,buy,2,30,M3_market_cancel_replenish,0.01114726571990543,6.241829335505043,0.13461149379032641,0.5421919626114301,0.017858559723358834,replenishment_2s,561952,207978,0.008123264295231136,0.003024001424674294
validation,buy,2,30,M4_full_proxy,0.01500790869541968,4.396466283029104,0.13912564637107822,0.5444211600770188,-0.04503391590048761,p3_depth_norm_2s,561952,258638,0.014638790636751997,0.00036911805866768344
test,buy,2,30,M4_full_proxy,0.008487911240272816,6.243187280518489,0.13297653657491165,0.5422977430305128,-0.04503391590048761,p3_depth_norm_2s,561952,207978,0.008123264295231136,0.00036464694504168005
validation,buy,2,60,M0_controls,0.00820431633356078,6.483812717250404,0.09827783805296278,0.5332005672264024,0.0855144714097927,recent_volatility_2s,560782,258098,0.00820431633356078,0.0
test,buy,2,60,M0_controls,0.002663470597835227,9.381635926648237,0.0893840392598635,0.529914035696388,0.0855144714097927,recent_volatility_2s,560782,207528,0.002663470597835227,0.0
validation,buy,2,60,M1_market,0.008224889728551288,6.483742886769751,0.09822374267077184,0.5332354377019581,-0.0363610396532975,market_pressure_2s,560782,258098,0.00820431633356078,2.0573394990508476e-05
test,buy,2,60,M1_market,0.0033799425863906274,9.380894676119759,0.08999820599037749,0.5298369376662426,-0.0363610396532975,market_pressure_2s,560782,207528,0.002663470597835227,0.0007164719885554005
validation,buy,2,60,M2_market_cancel,0.007627469119524166,6.4852989570683945,0.09568165685481275,0.5330649598214632,0.20279652072877805,cancellation_2s,560782,258098,0.00820431633356078,-0.0005768472140366132
test,buy,2,60,M2_market_cancel,0.0039055368153964043,9.38074837785268,0.09086118826676,0.5308488493119001,0.20279652072877805,cancellation_2s,560782,207528,0.002663470597835227,0.0012420662175611774
validation,buy,2,60,M3_market_cancel_replenish,0.007592439755699454,6.485410952653769,0.09549794583317307,0.5329564738975118,-0.020210450365397474,replenishment_2s,560782,258098,0.00820431633356078,-0.0006118765778613255
test,buy,2,60,M3_market_cancel_replenish,0.0038619870622247365,9.380799047744564,0.09078399448435413,0.5307139277591457,-0.020210450365397474,replenishment_2s,560782,207528,0.002663470597835227,0.0011985164643895097
validation,buy,2,60,M4_full_proxy,0.00821580582935244,6.483770083528541,0.09834847211303598,0.5333206766422057,-0.002464599494648295,p3_depth_norm_2s,560782,258098,0.00820431633356078,1.1489495791661142e-05
test,buy,2,60,M4_full_proxy,0.0026768960581463608,9.381596396422635,0.08945615904001261,0.5299429474576924,-0.002464599494648295,p3_depth_norm_2s,560782,207528,0.002663470597835227,1.3425460311133897e-05
validation,buy,2,300,M0_controls,-0.002303434424680617,14.97847706712606,0.029843154856241588,0.5068682076460529,0.18237479590477795,recent_volatility_2s,551422,253778,-0.002303434424680617,0.0
test,buy,2,300,M0_controls,0.00015195608937024208,21.321811575657435,0.03160739312895639,0.5064042210976423,0.18237479590477795,recent_volatility_2s,551422,203928,0.00015195608937024208,0.0
validation,buy,2,300,M1_market,-0.002309511719467139,14.978502933201543,0.02980667132737201,0.5068485053865978,-0.0039654396672676295,market_pressure_2s,551422,253778,-0.002303434424680617,-6.0772947865217475e-06
test,buy,2,300,M1_market,0.00015338921063823285,21.321803685805097,0.0315940119649299,0.5062620140441725,-0.0039654396672676295,market_pressure_2s,551422,203928,0.00015195608937024208,1.4331212679907779e-06
validation,buy,2,300,M2_market_cancel,-0.002351704130227228,14.97908659803942,0.029898750721738504,0.5068524458384888,0.12685556377686077,cancellation_2s,551422,253778,-0.002303434424680617,-4.826970554661081e-05
test,buy,2,300,M2_market_cancel,0.00026008166578672665,21.320954271950338,0.031405758335323795,0.5067474795025695,0.12685556377686077,cancellation_2s,551422,203928,0.00015195608937024208,0.00010812557641648457
validation,buy,2,300,M3_market_cancel_replenish,-0.002285558893946771,14.978676166716697,0.029756391749590768,0.5068130413195785,-0.2212336583497126,replenishment_2s,551422,253778,-0.002303434424680617,1.787553073384629e-05
test,buy,2,300,M3_market_cancel_replenish,0.0004351070152655012,21.32030238153158,0.03145328157000916,0.5065317170766153,-0.2212336583497126,replenishment_2s,551422,203928,0.00015195608937024208,0.00028315092589525914
validation,buy,2,300,M4_full_proxy,-0.0022511767385595682,14.978234428795199,0.029797267290325755,0.5063362466407647,0.0760857908122764,p3_depth_norm_2s,551422,253778,-0.002303434424680617,5.225768612104886e-05
test,buy,2,300,M4_full_proxy,0.00029889135614324935,21.321008046353075,0.030959994317529303,0.506811227492056,0.0760857908122764,p3_depth_norm_2s,551422,203928,0.00015195608937024208,0.00014693526677300728
validation,buy,5,1,M0_controls,0.050716516002640155,0.46652637074892583,0.2549454366445776,0.29631501774965274,0.013032999197914414,recent_volatility_5s,563083,259160,0.050716516002640155,0.0
test,buy,5,1,M0_controls,0.02331244206246763,0.6490102516087628,0.23409425291322486,0.3199080671551199,0.013032999197914414,recent_volatility_5s,563083,208413,0.02331244206246763,0.0
validation,buy,5,1,M1_market,0.05124622413687896,0.4665667151246694,0.25461231635361703,0.2958133971291866,-0.014706234228219683,market_pressure_5s,563083,259160,0.050716516002640155,0.0005297081342388044
test,buy,5,1,M1_market,0.024347947043157125,0.6491096649869197,0.2336617053338533,0.31931789283777884,-0.014706234228219683,market_pressure_5s,563083,208413,0.02331244206246763,0.0010355049806894945
validation,buy,5,1,M2_market_cancel,0.05121833005672638,0.4666755739836038,0.25484816160675594,0.296075783299892,0.009057707790660988,cancellation_5s,563083,259160,0.050716516002640155,0.0005018140540862248
test,buy,5,1,M2_market_cancel,0.024217064657128917,0.6491565274984558,0.23431343740768923,0.31964416807012996,0.009057707790660988,cancellation_5s,563083,208413,0.02331244206246763,0.0009046225946612863
validation,buy,5,1,M3_market_cancel_replenish,0.0515691144792354,0.46691101074591407,0.2553408877461172,0.2961683901836703,0.019628229943499324,replenishment_5s,563083,259160,0.050716516002640155,0.0008525984765952455
test,buy,5,1,M3_market_cancel_replenish,0.024593983501089434,0.6491309348146478,0.23586846399051864,0.3198552873381219,0.019628229943499324,replenishment_5s,563083,208413,0.02331244206246763,0.0012815414386218027
validation,buy,5,1,M4_full_proxy,0.051566872812288556,0.4666831100727606,0.25675908075989273,0.2967278901064979,-0.016861385679746238,p3_depth_norm_5s,563083,259160,0.050716516002640155,0.0008503568096484004
test,buy,5,1,M4_full_proxy,0.024218516654583966,0.6486221534542101,0.23741671419342347,0.32051263596800583,-0.016861385679746238,p3_depth_norm_5s,563083,208413,0.02331244206246763,0.0009060745921163349
validation,buy,5,5,M0_controls,0.04306839842148136,1.43071389899654,0.26427722315842966,0.4654904897177793,0.04677833804808448,recent_volatility_5s,562927,259088,0.04306839842148136,0.0
test,buy,5,5,M0_controls,0.019856264571594506,1.9830275395791352,0.2282045036686732,0.4610588760421016,0.04677833804808448,recent_volatility_5s,562927,208353,0.019856264571594506,0.0
validation,buy,5,5,M1_market,0.04431472959797034,1.4302288634618656,0.2649342153063447,0.4654132958685852,-0.037306704157967614,market_pressure_5s,562927,259088,0.04306839842148136,0.0012463311764889795
test,buy,5,5,M1_market,0.021714035028752243,1.9824551861065707,0.22900654730904163,0.46158682620360636,-0.037306704157967614,market_pressure_5s,562927,208353,0.019856264571594506,0.001857770457157737
validation,buy,5,5,M2_market_cancel,0.04432485838333411,1.430181245097117,0.2660371653902646,0.46608874204903356,0.04532982890139548,cancellation_5s,562927,259088,0.04306839842148136,0.0012564599618527517
test,buy,5,5,M2_market_cancel,0.021892807848916673,1.9822579551721546,0.23145511274098404,0.4616108239382202,0.04532982890139548,cancellation_5s,562927,208353,0.019856264571594506,0.002036543277322167
validation,buy,5,5,M3_market_cancel_replenish,0.04442924658629466,1.4301657458545098,0.2661800664059512,0.46610032112641264,0.016616934007368567,replenishment_5s,562927,259088,0.04306839842148136,0.0013608481648132997
