split,side,formation_window,horizon,pressure_quantile,mean_markout_bps,ci_low,ci_high,adverse_frequency,observation_count
validation,buy,1,1,1,0.13728692435716222,0.12433307060540764,0.15024077810891678,0.2511056635244762,39569
validation,buy,1,1,2,0.04282937018415639,0.031560600101562836,0.054098140266749944,0.2419293461026194,31534
validation,buy,1,1,3,-0.016124318984396865,-0.027334962515445104,-0.004913675453348625,0.24217000248853496,28129
validation,buy,1,1,4,-0.03460252086797545,-0.045463318339039493,-0.02374172339691141,0.23797956429535377,25935
validation,buy,1,1,5,-0.04632970485989827,-0.05722765192738529,-0.03543175779241125,0.22477343845247288,24607
validation,buy,1,1,6,-0.053155166266651774,-0.06374488412061143,-0.04256544841269212,0.2172134714124097,22982
validation,buy,1,1,7,-0.04743418726824521,-0.05776185817562222,-0.03710651636086821,0.1985188509874327,22280
validation,buy,1,1,8,-0.02872249536259564,-0.03956292859875579,-0.01788206212643549,0.17246021443338622,20799
validation,buy,1,1,9,0.008800896228354145,-0.0015005549077400076,0.019102347364448297,0.13394943149369193,19261
validation,buy,1,1,10,-0.08027923238404472,-0.09006006867988142,-0.07049839608820802,0.17208277925531915,24064
test,buy,1,1,1,0.16560033753218847,0.1441910845118946,0.18700959055248234,0.29571777952101885,43342
test,buy,1,1,2,0.016385308081468642,-0.0017481559759846103,0.03451877213892189,0.2829836387227444,31599
test,buy,1,1,3,-0.062264396577371255,-0.07936711937741522,-0.045161673777327285,0.28091893360239045,25769
test,buy,1,1,4,-0.06314531121373353,-0.07970763082698555,-0.0465829916004815,0.25786048217068475,21818
test,buy,1,1,5,-0.07058685742577596,-0.08839744326028977,-0.05277627159126215,0.24284809458460888,18946
test,buy,1,1,6,-0.07305477357629066,-0.09027223964132788,-0.05583730751125344,0.22218244734801026,16761
test,buy,1,1,7,-0.046851577502546884,-0.06386207764957928,-0.029841077355514486,0.2057801104219208,14671
test,buy,1,1,8,-0.04268301284956994,-0.05986598934975376,-0.025500036349386117,0.17985446189199542,13055
test,buy,1,1,9,-0.007723479361967156,-0.02938147656771956,0.013934517843785247,0.14680003704732797,10797
test,buy,1,1,10,-0.13713612780942674,-0.1636631103449336,-0.11060914527391986,0.1806949806949807,11655
validation,buy,1,5,1,0.22458545977731545,0.193937490418158,0.2552334291364729,0.3722758760175962,39554
validation,buy,1,5,2,0.0687875776911096,0.04066321553125943,0.09691193985095978,0.3743337563451777,31520
validation,buy,1,5,3,-0.01536887110255171,-0.04350205672019945,0.012764314515096038,0.38025464115513197,28118
validation,buy,1,5,4,-0.07768135261458967,-0.10525756852795366,-0.05010513670122567,0.3787212710165047,25932
validation,buy,1,5,5,-0.12387590085731658,-0.15176710342886113,-0.09598469828577202,0.3776422764227642,24600
validation,buy,1,5,6,-0.1319213380131791,-0.15981568155957537,-0.10402699446678283,0.3714422491078423,22978
validation,buy,1,5,7,-0.08458238123392307,-0.11226059039911095,-0.0569041720687352,0.3469946581676168,22277
