split,side,proxy,formation_window,horizon,low_pressure_mean_markout_bps,high_pressure_mean_markout_bps,high_minus_low_markout_bps,rank_correlation,low_count,high_count
validation,buy,P1_market,1,1,0.006678967023027415,,,-0.004383233943750548,165762,0
test,buy,P1_market,1,1,0.00590686242415515,,,-0.007493989619792662,153535,0
validation,buy,P1_market,1,5,0.008505240152009328,,,-0.004555093990718459,165718,0
test,buy,P1_market,1,5,0.007178695163557697,,,-0.009976141969729804,153488,0
validation,buy,P1_market,1,10,0.018731303546236793,,,-0.010298143064267146,165658,0
test,buy,P1_market,1,10,-0.011185112268566033,,,-0.005901571280252704,153429,0
validation,buy,P1_market,1,30,0.0081981509043223,,,-0.01078743608909859,165414,0
test,buy,P1_market,1,30,-0.043979027409311505,,,-0.005327858692384169,153178,0
validation,buy,P1_market,1,60,-0.059368366107192184,,,-0.005533148921738673,165035,0
test,buy,P1_market,1,60,-0.08822790143582661,,,-0.0020392025194377245,152853,0
validation,buy,P1_market,1,300,-0.5293052359175813,,,0.006054366496988237,162049,0
test,buy,P1_market,1,300,-0.9434020000160609,,,0.004090783491322192,150164,0
validation,buy,P2_market_cancel,1,1,-0.11562815976086395,0.1227143426263176,0.23834250238718155,0.11087817016915745,44976,59585
test,buy,P2_market_cancel,1,1,-0.13623847893969374,0.17762309856177413,0.31386157750146787,0.10201064835576483,51290,25129
validation,buy,P2_market_cancel,1,5,-0.3024436191307253,0.2771504792408574,0.5795940983715827,0.13035284959294802,44969,59556
test,buy,P2_market_cancel,1,5,-0.3629456057954354,0.41957956565779625,0.7825251714532316,0.1198520143763825,51265,25126
validation,buy,P2_market_cancel,1,10,-0.4176978907144527,0.3792242923200683,0.796922183034521,0.11882972592505635,44953,59528
test,buy,P2_market_cancel,1,10,-0.5254901586431147,0.6178668868672317,1.1433570455103463,0.11614198475766566,51240,25125
validation,buy,P2_market_cancel,1,30,-0.49336846753783287,0.3337922956711312,0.8271607632089641,0.0638927370212631,44896,59447
test,buy,P2_market_cancel,1,30,-0.6201369135264015,0.5935403932877101,1.2136773068141116,0.07084922045387065,51149,25086
validation,buy,P2_market_cancel,1,60,-0.5816402049814318,0.268136828258977,0.8497770332404088,0.045217962884890404,44773,59350
