side,representation,top_minus_bottom,rank_correlation,low_count,high_count,count,sequence
buy,market_only_static,-2.4431084228886597,-0.024420447581069416,410,573,2366,real
buy,static_p3_proxy,-1.7759892121095093,-0.014812948782154533,664,324,2366,real
buy,top_level_dynamic,-1.357401836315571,0.0004534216109785128,374,653,2347,real
buy,multilevel_shock_absorption,-10.384506648131651,-0.24155983499865624,539,511,2366,real
sell,market_only_static,-1.7864139817506857,-0.0406226119814032,570,332,2514,real
sell,static_p3_proxy,-1.5305825150653596,0.005555408126239814,435,274,2514,real
sell,top_level_dynamic,-0.030811793753984018,-0.029803864517358943,393,528,2502,real
sell,multilevel_shock_absorption,-11.288835028039447,-0.29148367354509297,490,350,2514,real
buy,market_only_static,-0.9715249464319549,0.007175132720962266,410,573,2366,stratified_null_11
buy,static_p3_proxy,-1.0316614491067808,0.002261577031930315,664,324,2366,stratified_null_11
buy,top_level_dynamic,2.3956962961401715,0.011532627076788923,374,653,2347,stratified_null_11
buy,multilevel_shock_absorption,-1.5735145983349461,0.015134020954045181,539,511,2366,stratified_null_11
sell,market_only_static,-0.07066096223949647,0.02276066265659054,570,332,2514,stratified_null_11
sell,static_p3_proxy,1.3307830286140765,-0.005481277456511205,435,274,2514,stratified_null_11
sell,top_level_dynamic,1.2348850671770202,0.02051337774875239,393,528,2502,stratified_null_11
sell,multilevel_shock_absorption,0.7247797081455396,0.02811056709284514,490,350,2514,stratified_null_11
buy,market_only_static,-0.7295648037078077,-0.0008858094530980929,410,573,2366,stratified_null_17
buy,static_p3_proxy,-2.1139502169989446,-0.02278734443048754,664,324,2366,stratified_null_17
buy,top_level_dynamic,-2.354783396452086,-0.01900070468703645,374,653,2347,stratified_null_17
buy,multilevel_shock_absorption,-2.1660716387163603,-0.0212829684100022,539,511,2366,stratified_null_17
sell,market_only_static,-4.516984688380505,-0.04298027919326127,570,332,2514,stratified_null_17
sell,static_p3_proxy,3.647886060420518,0.04155181354966318,435,274,2514,stratified_null_17
sell,top_level_dynamic,-1.7795780541897144,-0.015744669233635,393,528,2502,stratified_null_17
sell,multilevel_shock_absorption,-5.232055798830708,-0.041460093319565974,490,350,2514,stratified_null_17
buy,market_only_static,0.11691986590880199,0.01822648730643661,410,573,2366,stratified_null_23
buy,static_p3_proxy,-4.123753432946477,-0.011533784602227813,664,324,2366,stratified_null_23
buy,top_level_dynamic,-2.0657838867620173,-0.010108800886876166,374,653,2347,stratified_null_23
buy,multilevel_shock_absorption,-1.1146842306421338,-0.004520165561336535,539,511,2366,stratified_null_23
sell,market_only_static,-2.9544000009895566,-0.05647583955404959,570,332,2514,stratified_null_23
sell,static_p3_proxy,-1.0002849923006827,0.01601843085340754,435,274,2514,stratified_null_23
sell,top_level_dynamic,-1.924281234436021,-0.031213407905302897,393,528,2502,stratified_null_23
sell,multilevel_shock_absorption,-4.284894470370786,-0.07157737813287116,490,350,2514,stratified_null_23
buy,market_only_static,-1.0483009335106348,0.003373468490363053,410,573,2366,stratified_null_31
buy,static_p3_proxy,-0.11682840983110188,0.0066486199136794304,664,324,2366,stratified_null_31
buy,top_level_dynamic,3.5953567328397704,0.04350893323554825,374,653,2347,stratified_null_31
buy,multilevel_shock_absorption,-0.47420360020504915,0.0048934479640756045,539,511,2366,stratified_null_31
sell,market_only_static,-1.728771134475323,-0.015667319362838227,570,332,2514,stratified_null_31
sell,static_p3_proxy,-0.046723553520080285,-0.012559105836624526,435,274,2514,stratified_null_31
sell,top_level_dynamic,-1.2533456940398033,-0.025535535013676364,393,528,2502,stratified_null_31
sell,multilevel_shock_absorption,-2.817526417811704,-0.026937560170395863,490,350,2514,stratified_null_31
buy,market_only_static,-0.5615228523392282,0.02665179847173625,410,573,2366,stratified_null_43
buy,static_p3_proxy,-2.574168728747148,-0.031685651693325205,664,324,2366,stratified_null_43
buy,top_level_dynamic,-2.024539202329114,-0.0027017215263747518,374,653,2347,stratified_null_43
buy,multilevel_shock_absorption,-0.03749017411376965,0.004204212394830495,539,511,2366,stratified_null_43
sell,market_only_static,-2.0524018037851928,-0.011218121255998307,570,332,2514,stratified_null_43
sell,static_p3_proxy,-2.5134861567420455,-0.028458815465193864,435,274,2514,stratified_null_43
sell,top_level_dynamic,-0.5634872028097715,-0.014043151512955378,393,528,2502,stratified_null_43
sell,multilevel_shock_absorption,-4.069330630107889,-0.01171597227562798,490,350,2514,stratified_null_43
