side,total_time_after_shock,outcome_horizon_after_absorption,weak_count,strong_count,weak_future_markout_mean,strong_future_markout_mean,strong_minus_weak_markout,markout_ci_low,markout_ci_high,weak_future_quote_survival,strong_future_quote_survival,strong_minus_weak_quote_survival,quote_survival_ci_low,quote_survival_ci_high,weak_adverse_frequency,strong_adverse_frequency,strong_minus_weak_adverse_frequency,adverse_ci_low,adverse_ci_high
buy,10,5,722,899,-0.5022292380074052,0.34240037225102,0.8446296102584252,0.39753558297803776,1.3341609456467884,0.5277008310249307,0.6040044493882091,0.07630361836327837,0.02199702688765365,0.1300187902992596,0.49584487534626037,0.3971078976640712,-0.0987369776821892,-0.15158553106417172,-0.04257261796977545
buy,30,25,722,899,-1.085379451000175,0.48708187517550644,1.5724613261756815,0.33294928945163876,3.243255555272285,0.48614958448753465,0.525027808676307,0.0388782241887724,-0.009418940964763183,0.08635755626667885,0.5207756232686981,0.4760845383759733,-0.044691084892724775,-0.09443417735091694,-6.964189010580382e-05
buy,60,55,722,899,-1.2676537088408386,0.5245199485644909,1.7921736574053295,-0.131833794798969,3.8303645269802082,0.4889196675900277,0.5172413793103449,0.028321711720317166,-0.021273481908356533,0.0772250167762532,0.5235457063711911,0.4794215795328142,-0.04412412683837691,-0.08916122438092076,0.008729778849371796
buy,120,115,722,899,-1.6170189480895865,0.6836784539539479,2.3006974020435345,-1.1061612565069348,6.221749525402516,0.5193905817174516,0.4983314794215795,-0.021059102295872045,-0.07346648895837785,0.032772087130636625,0.48753462603878117,0.4961067853170189,0.008572159278237734,-0.03752897708461902,0.060248340251177035
buy,300,295,722,899,0.4657698318384209,-1.6887118723217829,-2.1544817041602036,-6.240462907538657,2.261855435886357,0.5013850415512465,0.5050055617352615,0.0036205201840149304,-0.04315126445890919,0.04691618152515634,0.5,0.4961067853170189,-0.0038932146829810943,-0.04807343028796416,0.03825884859831616
sell,10,5,848,674,-0.42142465512040406,0.25462502318298025,0.6760496783033842,0.2723795291654323,1.1461956658878425,0.5436320754716981,0.6083086053412463,0.0646765298695482,0.009889279571449599,0.12492065756762444,0.47877358490566035,0.39020771513353114,-0.08856586977212921,-0.14462930715704722,-0.03112444396940876
sell,30,25,848,674,-0.7153834255673706,0.957300935014219,1.6726843605815895,0.5719836648244135,3.3205288050595207,0.47287735849056606,0.5207715133531158,0.04789415486254972,-0.00029757851323794363,0.1017933762579784,0.535377358490566,0.47774480712166173,-0.05763255136890427,-0.11096299449659805,-0.010999993030434389
sell,60,55,848,674,-0.16288753080519722,0.27399614014580814,0.43688367095100533,-1.3973109142734996,2.3350405470669138,0.5011792452830188,0.5074183976261127,0.006239152343093912,-0.04545088299182689,0.05972043494248443,0.5035377358490566,0.4896142433234421,-0.013923492525614478,-0.06413642795151198,0.03048534328312859
sell,120,115,848,674,-0.735295657156031,-0.38448598465999334,0.3508096724960376,-1.8855347429885725,2.611916410925311,0.5094339622641509,0.5178041543026706,0.00837019203851963,-0.04227261364744907,0.05205622607382285,0.49528301886792453,0.4821958456973294,-0.013087173170595157,-0.0637437346600112,0.03721350901276783
sell,300,295,848,674,-0.5614418531287244,0.8630976095049563,1.4245394626336807,-3.398860904993434,6.896913580043815,0.5188679245283019,0.5222551928783383,0.003387268350036443,-0.04636769553204762,0.04999517619133182,0.4882075471698113,0.47477744807121663,-0.013430099098594661,-0.06294622671628347,0.03507275776763706
