threshold,label,overall_fill_rate,average_net_value_given_fill,bad_fill_ratio_given_fill,average_adverse_drift_given_fill,number_traded,number_filled
0.8,Imbalance ≥ 0.8,0.100375,0.17078951643011753,0.0186799501867995,0.0012657521371632343,841,803
0.6,Imbalance ≥ 0.6,0.20675,0.14976332315702334,0.03325272067714631,0.002595301532234495,1708,1654
0.2,Imbalance ≥ 0.2,0.32,0.12894542688473726,0.05703125,0.003952776392724788,2617,2560
0.4,Imbalance ≥ 0.4,0.32,0.12894542688473726,0.05703125,0.003952776392724788,2617,2560
0.0,Imbalance ≥ 0.0,0.547375,0.08824679601742436,0.15437314455355103,0.010399424890706513,4437,4379
-0.2,Imbalance ≥ -0.2,0.6585,0.0677752220950027,0.2524677296886864,0.017780037613555937,5326,5268
-0.6,Imbalance ≥ -0.6,0.767,0.04827443702972281,0.340612777053455,0.027525334280262697,6194,6136
-0.4,Imbalance ≥ -0.4,0.767,0.04827443702972281,0.340612777053455,0.027525334280262697,6194,6136
-inf,Always passive,0.99275,0.007531055548899764,0.47897255099471164,0.05390122794049891,8000,7942
-0.8,Imbalance ≥ -0.8,0.99275,0.007531055548899764,0.47897255099471164,0.05390122794049891,8000,7942
